"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4584","Verify SUBMIT button is clickable on Question 1","chromium","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","6090","Verify Title of Registration page","firefox","2026-04-02","passed","2026-04-02","Registration Page","features\Register.feature.spec.js","",""
"","4334","Verify Search the Array link is present on Practice page","chromium","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","4382","Verify Max Consecutive Ones link is present on Practice page","chromium","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","1767","Verify 7 Get Started buttons are visible","chromium","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases","features\Home.feature.spec.js","",""
"","5235","Verify Basic Operations in Lists title is displayed","webkit","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","3991","Verify Practice Questions link navigates to Practice page","chromium","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","6281","Verify Get Started button on Graph card","webkit","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases","features\Home.feature.spec.js","",""
"","9932","Verify Arrays in Python link navigates to correct page","webkit","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","2968","Verify Array title is displayed on top left corner","chromium","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","4513","Verify logged in user can access Array page","chromium","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases","features\Home.feature.spec.js","",""
"","4939","Verify back arrow navigates back to Practice page from Question 4","firefox","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","4035","Verify Search the Array link navigates to Question 1 page","chromium","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","6273","Verify Password field is present on Sign In page","webkit","2026-04-02","passed","2026-04-02","Sign In Page","features\Login.feature.spec.js","",""
"","2272","Verify Keyboard Navigation using Tab key","chromium","2026-04-02","passed","2026-04-02","Sign In Page","features\Login.feature.spec.js","",""
"","1815","Example #4","chromium","2026-04-02","passed","2026-04-02","Home Page - Non Functional and Functional Test Cases > Validate alert when unregistered user clicks Get Started on card","features\Home.feature.spec.js","",""
"","4692","Verify back arrow navigates back to Practice page from Question 2","firefox","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","5967","Verify Login button is present on Sign In page","firefox","2026-04-02","passed","2026-04-02","Sign In Page","features\Login.feature.spec.js","",""
"","4712","Verify back arrow navigates back to Applications of Array page","chromium","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","4870","Verify RUN button is clickable on Question 2","chromium","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","13773","Verify Deletion in list sub title is present","firefox","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
"","6592","Verify Try here link is present on Basic Operations page","firefox","2026-04-02","passed","2026-04-02","Array Module","features\Array.feature.spec.js","",""
